Date,Close,High,Low,Open,Volume,Daily_Change_%,Crash_Signal
2020-01-01,168.79664611816406,169.15110291258225,168.0877100612246,169.15110291258225,4370931,,0
2020-01-02,170.03726196289062,170.81709609436126,168.79664075375123,168.86752761676144,8726602,0.7349765965480648,0
2020-01-03,169.08021545410156,170.85254435618046,168.72574742687547,170.85254435618046,9642051,-0.5628451656660594,0
2020-01-06,166.66983032226562,168.93841196691403,166.59893223097336,168.3712609387268,7930726,-1.4255867402122258,0
2020-01-07,166.8470458984375,168.65481789611448,166.3153495737148,167.34329879725854,8740894,0.10632732740485373,0
2020-01-08,166.0318145751953,167.16610554876365,165.35832193729263,165.89002960775574,7314466,-0.4886099833846802,0
2020-01-09,167.1660919189453,167.7332317424621,166.63438429183475,167.02429572901525,9816703,0.6831686726138209,0
2020-01-10,168.72573852539062,169.25743492115322,167.87501755173992,168.4421686121907,10357864,0.9329922046640515,0
2020-01-13,169.61190795898438,170.49807238954875,168.9029719209124,169.080211547456,12715178,0.5252129528894534,0
2020-01-14,172.4476318359375,172.83755452567107,168.93842873479804,170.32084616278075,12299570,1.6718896161694419,0
2020-01-15,171.8450469970703,172.2704018810392,170.92342789739413,171.95138852657536,5687654,-0.3494306256640711,0
2020-01-16,170.67529296875,172.90843127580052,170.21449467574408,171.91592536155585,9730522,-0.6807027893799278,0
2020-01-17,170.10813903808594,171.6323412130597,169.71822763756123,170.67527880828555,7677106,-0.33229996023379504,0
2020-01-20,171.4905548095703,172.44760597214147,170.17902444256953,170.17902444256953,8329721,0.8126687995656967,0
2020-01-21,169.0447540283203,171.17153949719685,168.72572946755864,171.17153949719685,9939680,-1.4262014511329246,0
2020-01-22,168.76119995117188,169.86004752455625,168.08771852699545,169.86004752455625,7949731,-0.16773905749298823,0
2020-01-23,168.65484619140625,169.25744070307923,167.94592138418918,168.79664238690097,6356150,-0.06302026757121215,0
2020-01-24,168.8320770263672,169.5055583666629,168.0167994979612,168.30038064013107,7063834,0.10508493468357472,0
2020-01-27,166.31536865234375,168.3003804753357,166.10268560443726,168.01679933344346,7100949,-1.4906577105193053,0
2020-01-28,163.58596801757812,167.23696688239568,163.4087396438501,166.42170063557674,15144538,-1.6410994707717008,0
2020-01-29,167.7686767578125,168.47761277795658,163.86956234917295,164.1176888328183,21258057,2.5568872385099306,0
2020-01-30,165.92547607421875,168.01681842474687,165.1810965560149,167.98137499075202,10794458,-1.0986560299659276,0
2020-01-31,166.7052764892578,169.0093016003741,165.92545364248465,167.1306313418476,19166671,0.4699702742996914,0
2020-02-03,147.17422485351562,153.7672989471025,145.3310090186198,152.4203248877156,82836335,-11.715916884610866,1
2020-02-04,152.88111877441406,154.26352489169392,148.2730571919617,149.44279149414893,37145337,3.8776449657394796,0
2020-02-05,153.44827270507812,154.19265221148524,149.93905824174507,153.34193117072684,22072147,0.3709770933197687,0
2020-02-06,151.39236450195312,155.89407346266808,150.1517320676435,154.5471107346043,28443398,-1.339805373421421,0
2020-02-07,151.2860107421875,152.916554490581,150.82520123697296,151.56958063737326,17793265,-0.07025041197784576,0
2020-02-10,149.2655487060547,151.746813259799,148.91108073636983,151.71135859899573,9987781,-1.3355246967123535,0
2020-02-11,150.7188720703125,153.80273144386646,150.15173223345957,153.48370686009835,30951617,0.9736495640529919,0
2020-02-12,151.0378875732422,152.27851993433143,150.1517232058999,151.28601404546004,10310789,0.21166261301428513,0
2020-02-13,150.22259521484375,151.32144251662416,149.72635355351156,151.0378726432774,9505645,-0.5397932740571987,0
2020-02-14,147.2451171875,150.93155994694317,146.60707923363583,150.47075038924348,14260540,-1.982044061404642,0
2020-02-17,145.18919372558594,147.91857347406946,144.62204273280457,147.45777522861226,16161290,-1.396259177339021,0
2020-02-18,144.51573181152344,145.04743949045167,142.14080829248383,145.01198482248847,21741128,-0.46385126660002385,0
2020-02-19,146.5361785888672,146.8552031772824,144.51572323105813,145.50822919405925,9403278,1.3980808539092449,0
2020-02-20,147.06790161132812,147.84773589053333,145.65004050795622,146.74888819924476,16193373,0.3628612589610336,0
2020-02-24,143.91314697265625,147.06789365486296,143.06243709708903,146.74888026003842,17233132,-2.1451007351755647,1
2020-02-25,143.06239318847656,145.61454449997908,142.84971016783493,144.4802537799725,15903285,-0.591157793485908,0
2020-02-26,140.7938232421875,143.16874638639868,139.16327949694028,142.24712737774794,18557438,-1.5857206745453767,0
2020-02-27,140.04945373535156,141.18374462807463,138.87971941180774,140.65204822955934,17936226,-0.52869471805983,0
2020-02-28,140.04945373535156,141.71544102658993,136.1503280894878,138.24168148677919,33885063,0.0,0
2020-03-02,138.454345703125,144.23214137599064,137.28461144381214,141.4318633457945,19274852,-1.138960552635071,0
2020-03-03,137.42640686035156,139.97855861470816,136.5047990010675,139.6595452624392,18638624,-0.7424388433264206,0
2020-03-04,132.9246826171875,138.63157997854913,132.25119009019735,138.20621391222906,28729502,-3.275734515665951,1
2020-03-05,133.31459045410156,135.54771730631794,132.25118655081076,132.96012248633795,20797182,0.29332989873442905,0
2020-03-06,128.84832763671875,131.0460225242147,127.43046685275249,131.0460225242147,27795285,-3.350168051501079,1
2020-03-09,125.62268829345703,126.89876405802401,123.70857464660656,126.89876405802401,22633662,-2.503439045290712,1
2020-03-11,124.52384185791016,125.3036646939953,122.1843621156044,123.35410760378242,29032759,-0.8747197265671858,0
2020-03-12,110.4515609741211,119.91578838661823,106.72966369140778,119.8094580934416,54043896,-11.300872727526713,1
2020-03-13,115.024169921875,116.26480237010445,95.42221094200336,106.33975401832006,63962722,4.13992243063479,0
2020-03-16,104.39021301269531,112.08211292067585,102.97234071746014,112.01122604634588,34535653,-9.244976004958193,1
2020-03-17,105.7371826171875,110.45158695071652,103.53949839580629,104.92191610678834,49492914,1.2903217319121474,0
