Date,Close,High,Low,Open,Volume,Daily_Change_%,Crash_Signal
2020-01-01,405.0124816894531,407.01751679907295,402.16817323936476,403.75354321915927,2321850,,0
2020-01-02,405.6186828613281,412.75279106020827,402.86760795097433,404.73273576556215,4555670,0.1496746888753453,0
2020-01-03,414.6179504394531,420.02681012969487,403.84681941445234,405.33892747163446,9457180,2.218652137678201,0
2020-01-06,410.281494140625,414.71117261112107,405.75855358935814,411.1674127589694,4794923,-1.0458920782932646,0
2020-01-07,416.29656982421875,417.7886779373425,408.0433726150107,411.63374975795375,4504083,1.4660850585505703,0
2020-01-08,410.4214172363281,416.3898210737985,409.39559115654544,413.07923029680313,3881918,-1.4112901747836637,0
2020-01-09,410.188232421875,414.8510518686177,409.39554742401043,412.8460451984366,3934566,-0.05681594689266323,0
2020-01-10,413.6853942871094,418.72123417322024,410.3281582098372,410.4214203013493,4334013,0.8525748885057194,0
2020-01-13,414.6179504394531,423.05764305913596,412.7061772082031,416.8560982954292,4823348,0.22542641466731794,0
2020-01-14,415.9235534667969,419.1875275410879,414.43144534091624,416.8561174880229,2708589,0.3148930300677977,0
2020-01-15,418.7678527832031,420.30660615075783,413.7320128755184,417.4156520590664,3054107,0.6838514656596129,0
2020-01-16,418.7678527832031,425.57558705842416,417.2291278752432,421.7520689668062,4416809,0.0,0
2020-01-17,423.943603515625,425.48232843613255,415.92354735893724,417.975199559344,3216737,1.235947482124744,0
2020-01-20,419.1408996582031,425.4357066352906,416.06342139364807,423.5705786420795,2824739,-1.1328638567947746,0
2020-01-21,417.22918701171875,421.2858466782939,415.9236029186919,417.7887311829013,2573651,-0.45610262516574407,0
2020-01-22,416.2033386230469,423.2442145214626,415.3174198204576,418.1617288881558,3412716,-0.24587167451519676,0
2020-01-23,419.5139465332031,421.70547775802675,414.9910051669919,417.04265747525153,1875787,0.7954304069518026,0
2020-01-24,417.6022033691406,422.31166927139043,416.66963924508303,419.65385582590665,2153164,-0.4557043168316177,0
2020-01-27,418.1617431640625,421.285838638916,412.37986273110806,416.8561590959501,3530914,0.13398870753258407,0
2020-01-28,422.3582458496094,431.3108662794369,417.8353045869761,418.0218287778542,9487290,1.0035596881229791,0
2020-01-29,419.7470397949219,425.94858437357635,419.1408789190401,424.176718559617,3103817,-0.6182443649075275,0
2020-01-30,412.2864990234375,423.150862585788,410.60786695560694,421.0525938456932,3486193,-1.7773897286159301,0
2020-01-31,405.0124816894531,415.3639464490976,403.47375697941203,412.7527789690031,3757229,-1.764311310511979,0
2020-02-03,389.3920593261719,399.97666567084724,386.08146874372824,395.2205839146944,4032780,-3.8567755487739164,1
2020-02-04,396.94580078125,398.11150560467644,385.0089947731995,388.8325122859563,4848610,1.9398807125521778,0
2020-02-05,397.50537109375,402.30806959217244,393.44871234785427,400.5362038352273,3826307,0.14096894623867318,0
2020-02-06,401.6086730957031,408.46302405428634,395.40712830825896,399.32390841590484,7745520,1.0322632850627178,0
2020-02-07,401.74853515625,411.9601217132858,394.6610719589646,402.8676232713966,7402556,0.03482545819262217,0
2020-02-10,391.9566650390625,403.56709902928975,390.0915369095222,399.65031857341637,3638523,-2.4373132097119443,1
2020-02-11,390.3246765136719,396.0599682589377,388.692689406228,393.5420339093285,4683072,-0.41636963240004876,0
2020-02-12,386.64105224609375,392.8892141667497,386.08150813658534,390.55780409346113,4439987,-0.9437333812660209,0
