Date,Close,High,Low,Open,Volume,Daily_Change_%,Crash_Signal
2020-01-01,619.740234375,622.3896161125859,616.1236563320883,618.184280868582,2112415,,0
2020-01-02,617.9320678710938,623.062557139031,614.7360228516574,621.4645602966463,5658200,-0.2917620002079957,0
2020-01-03,627.43603515625,629.11816929876,617.2591441279282,617.2591441279282,7882938,1.5380278479314669,0
2020-01-06,621.4224853515625,633.9964503630143,619.4459979490006,627.5202226022485,6519403,-0.9584323289926977,0
2020-01-07,612.2127685546875,624.576413976731,609.8577395841436,620.7075258131158,7899363,-1.4820379072161716,0
2020-01-08,604.054443359375,613.1379584021026,595.7278579583198,609.731646677913,8639443,-1.3325963805970065,0
2020-01-09,611.9183349609375,615.2405601459508,600.7741963116773,606.9981131477696,13521186,1.3018514619027366,0
2020-01-10,620.833740234375,624.8288092157168,614.3995559726637,622.7681844215654,9341405,1.456959983721795,0
2020-01-13,650.6074829101562,653.9297084159871,635.0056975615051,639.2110333069456,36952038,4.795767489141478,0
2020-01-14,652.3737182617188,653.4670952274895,645.2666909822158,647.579625512934,11414418,0.27147479823965703,0
2020-01-15,645.5610961914062,650.8598090964978,641.0193642733277,650.8598090964978,6047430,-1.0442821161565252,0
2020-01-16,645.0985717773438,649.7244415880026,639.4213679188077,648.2105308259938,5740586,-0.0716468846699736,0
2020-01-17,645.8134155273438,650.0608458665614,641.1034598393667,648.2104877981894,3762957,0.1108115536561316,0
2020-01-20,646.3179931640625,651.3223524429509,641.6921243294809,648.9673236048908,3887680,0.07813055978509453,0
2020-01-21,641.3137817382812,648.042319776191,639.8419140424884,646.318142170911,4448374,-0.7742646001982711,0
2020-01-22,647.7899780273438,654.3502920249273,644.2574854641315,646.3181104038944,9733935,1.0098327017873832,0
2020-01-23,659.6910400390625,660.658287856233,653.2569067378898,653.5933028182379,12528017,1.8371790881915206,0
2020-01-24,658.3453979492188,661.4994001751013,650.6496119841967,652.4579271275713,7540490,-0.20398065278619537,0
2020-01-27,654.4343872070312,660.069547881193,651.3224795424171,655.2334113376766,3741610,-0.5940666942262363,0
2020-01-28,654.350341796875,657.5463871839612,649.3039381326317,656.8735436289966,5121009,-0.012842450182815046,0
2020-01-29,664.190673828125,666.7979612049103,659.606848040858,661.5833351166798,6832757,1.5038323360889505,0
2020-01-30,656.6211547851562,664.1907593716351,654.3502631422793,664.1907593716351,3859680,-1.139660543461285,0
2020-01-31,652.6259765625,660.1955798831523,648.9673041567233,656.4948643925258,6092028,-0.6084449447815055,0
2020-02-03,645.4349365234375,665.242057181126,642.9958213109562,657.7144960957066,6416745,-1.101862367927653,0
2020-02-04,662.634765625,664.35899443358,647.7058229908439,647.7058229908439,5771311,2.664843213199375,0
2020-02-05,659.8591918945312,661.0787494728322,651.3223915157496,656.8734139163893,6310409,-0.4188693190359305,0
2020-02-06,648.7570190429688,661.7515146427088,647.6215991108578,659.6908901967885,7341622,-1.6825063571042964,0
2020-02-07,653.761474609375,655.0651184033688,648.4627619189931,652.6260545095304,2853344,0.7713913560100982,0
2020-02-10,650.313232421875,654.3503451067559,647.411540033323,650.986075980243,3827682,-0.5274465262059547,0
2020-02-11,650.6074829101562,655.2753953206621,646.9488613454889,655.1913091396193,4312817,0.04524750129801802,0
2020-02-12,656.91552734375,658.7658854536431,651.9111672288124,652.4999245366876,2948825,0.9695622321123532,0
2020-02-13,666.3355712890625,667.8074390703889,657.8828551546657,660.237833337853,4387430,1.4339810147893095,0
2020-02-14,661.457275390625,672.1808816342858,659.9012703505496,668.2278557324347,5321680,-0.7321079811183129,0
2020-02-17,663.9804077148438,667.3446759899614,658.8078247079864,664.6952941894423,2929629,0.3814505362766951,0
2020-02-18,670.8773193359375,672.0547826971391,659.1023777158924,660.2377979810996,5083346,1.038722158207972,0
2020-02-19,673.232177734375,676.9328422135535,669.6155994322401,672.8536872683541,3985192,0.35101177675351813,0
2020-02-20,670.3305053710938,677.9841957517539,667.6811233668155,675.587174955246,4564569,-0.4310061906200424,0
2020-02-24,669.3633422851562,682.6101513124851,666.2514345655202,672.9378780544355,6627536,-0.1442815265287778,0
2020-02-25,671.508056640625,677.9001466709008,668.9848551021477,672.0126764144537,6996695,0.32041108617433256,0
2020-02-26,658.3453979492188,674.0733659825542,656.4529966136893,667.765361530789,8760569,-1.9601639267376014,0
2020-02-27,654.2240600585938,656.6631753198726,649.4720614766744,654.3502406645673,5223386,-0.626014536360886,0
2020-02-28,615.4088134765625,636.5195773633094,607.2924953467252,630.8003312931837,14123957,-5.933020344521545,1
2020-03-02,623.2727661132812,644.1733144136376,617.1329865312487,619.866454614692,9821523,1.2778420562900017,0
2020-03-03,628.2772216796875,638.3700284536584,623.4410851004932,635.0057595290015,7826587,0.8029318523916862,0
2020-03-04,638.15966796875,640.4726025149299,627.0575718801535,634.0805130302612,11013444,1.5729435905127875,0
2020-03-05,634.669189453125,650.607420670565,632.272168841398,642.3649736649388,7755293,-0.5469600620069182,0
2020-03-06,621.5066528320312,625.7540321651428,613.2221096430209,623.2308304225414,9216022,-2.0739208456669433,1
2020-03-09,592.48974609375,610.4885517564255,586.2237857495801,609.353131672268,10308654,-4.668800664652483,1
2020-03-11,576.9719848632812,585.3406121118303,562.7158883814333,580.8829671021214,16165009,-2.6190767574926666,1
2020-03-12,530.881591796875,563.5149867317193,527.769633095752,561.8328524429679,13965574,-7.988324264535618,1
2020-03-13,540.2594604492188,560.9917861223903,479.40827299814464,497.9117502015818,16903113,1.7664708660555473,0
2020-03-16,490.46832275390625,523.2699411824093,487.8189407315845,523.1437605776648,19140152,-9.216152856242775,1
2020-03-17,466.7501220703125,497.91164282836655,462.58683033040813,494.63146113398045,16059887,-4.835827225379119,1
2020-03-18,449.3821716308594,486.1368166515516,444.0834588097219,477.72614508318566,15390183,-3.7210382211398274,1
2020-03-19,458.8441162109375,469.31541118990197,428.3133927391713,428.3133927391713,16583991,2.1055451634272915,0
2020-03-20,492.1924743652344,519.3168881847324,460.9047681576718,462.16636880043916,21354894,7.267905804193897,0
2020-03-23,442.7798156738281,471.7966326299263,433.9065674223022,454.17626539979733,17146150,-10.03929585781096,1
2020-03-24,496.06134033203125,505.60748223709646,439.0370040906388,439.0370040906388,20027097,12.033413171085638,0
2020-03-25,509.8549499511719,534.0776751888671,475.79172814778747,502.11712139803734,18339548,2.780625801218073,0
2020-03-26,540.8060913085938,547.4084468505824,514.8170999793414,517.256214859697,14843813,6.070577790876808,0
