Date,Close,High,Low,Open,Volume,Daily_Change_%,Crash_Signal
2020-01-01,1180.6744384765625,1188.7412525484212,1174.4103596925202,1179.2774699108377,3123998,,0
2020-01-02,1212.5360107421875,1214.9695110055643,1181.620941341465,1182.5222540350894,4335359,2.6985908415817272,0
2020-01-03,1203.297607421875,1212.2205154539754,1198.8811530283294,1212.2205154539754,2059871,-0.7619075424125099,0
2020-01-06,1186.803466796875,1200.5484851136796,1184.4149661994147,1199.6471724371677,2646905,-1.3707449032778762,0
2020-01-07,1190.18359375,1207.308537544964,1184.0997321386312,1196.9434399848542,2077893,0.2848093258648543,0
2020-01-08,1164.090576171875,1179.5480024781505,1156.6997452909418,1173.5092508037048,4147568,-2.1923523156550773,1
2020-01-09,1186.262939453125,1189.642862668892,1176.303388367915,1181.6211562320966,2067779,1.904693993328599,0
2020-01-10,1193.8787841796875,1204.1086613522386,1188.8314550484774,1188.8314550484774,2360798,0.6420030899788154,0
2020-01-13,1202.98193359375,1207.218169005278,1197.574057767258,1197.8444955679888,1825244,0.7624852317245301,0
2020-01-14,1195.23095703125,1199.647412032924,1185.3165156094904,1198.5658806145125,2046500,-0.6443136298269203,0
2020-01-15,1192.9775390625,1204.289058133406,1189.7328351531519,1194.780164570308,2127677,-0.18853410342943855,0
2020-01-16,1189.10205078125,1201.359883163033,1187.3895344137238,1196.6729904717226,1773135,-0.32485844488703286,0
2020-01-17,1175.4920654296875,1195.0956180905528,1173.5092213538628,1190.273616797069,2941837,-1.1445599091028935,0
2020-01-20,1180.359130859375,1189.6426960008107,1177.5650833971602,1184.2798192356704,2542477,0.41404494107821765,0
2020-01-21,1173.824462890625,1184.234667609932,1172.1119469163282,1175.9876351727098,1361576,-0.553616928772549,0
2020-01-22,1166.4788818359375,1182.5222923111546,1164.4960378551918,1181.6209795883565,2449753,-0.6257819023977818,0
2020-01-23,1200.8189697265625,1207.6238146853252,1177.114401401037,1178.0157141126763,10056067,2.943909952023871,0
2020-01-24,1225.064208984375,1232.860586042344,1200.548546930343,1200.548546930343,5837319,2.0190586482268236,0
2020-01-27,1215.510498046875,1230.201941638704,1207.75922947436,1207.75922947436,2510013,-0.7798538939783772,0
2020-01-28,1213.7529296875,1221.2788697212964,1205.9565517985939,1217.5835091681756,2352852,-0.14459507854511777,0
2020-01-29,1230.9228515625,1239.2599949937369,1218.6650194412805,1219.5663322446574,3678474,1.41461424768059,0
2020-01-30,1234.978759765625,1240.9275122895733,1219.4762235495753,1231.1481803494494,2743506,0.32950141416063783,0
2020-01-31,1234.1676025390625,1241.1076667606287,1226.1908966184,1240.1612443560832,3939306,-0.06568187672445491,0
2020-02-03,1159.6739501953125,1175.221593502574,1146.4696977876304,1162.693325586512,5767353,-6.035942945714479,1
2020-02-04,1164.2706298828125,1178.286085771204,1160.4851607159026,1168.101208692181,3604309,0.3963769028980879,0
2020-02-05,1180.7646484375,1194.2392281723792,1167.1998494213065,1169.8136780386128,4220104,1.4166825247792891,0
2020-02-06,1187.56982421875,1194.2395615103849,1179.8636651378474,1192.3468264742094,2354458,0.5763363418997303,0
2020-02-07,1170.8052978515625,1184.6855366283353,1168.1013595193417,1183.4687863835425,3053804,-1.4116665837493936,0
2020-02-10,1158.45751953125,1173.9149478161537,1147.4614360882204,1171.7067752107525,3039992,-1.054639771699939,0
2020-02-11,1159.8995361328125,1170.7602900310687,1157.2857068462863,1164.4962096926806,2200796,0.12447729651285933,0
2020-02-12,1169.2730712890625,1171.5713527809678,1153.6803167485957,1161.8822407457747,2568696,0.8081333653690459,0
2020-02-13,1164.721435546875,1171.5713906442434,1158.1869179166063,1170.8052967888493,1545536,-0.38927055227309104,0
2020-02-14,1167.335205078125,1176.1680038241677,1163.234188144355,1167.1999861638255,1780119,0.22441155897698906,0
