Date,Close,High,Low,Open,Volume,Daily_Change_%,Crash_Signal
2020-01-01,6945.33544921875,7038.66247161543,6917.17074011005,7007.363299952278,634725,,0
2020-01-02,6962.5751953125,6998.813530370282,6945.619507881041,6960.437935480343,616838,0.2482204958968337,0
2020-01-03,6890.763671875,6964.617878097322,6863.929185369783,6961.720888974127,571967,-1.0313931472631932,0
2020-01-06,6689.5283203125,6848.730526280027,6674.425109973177,6839.231593511262,748516,-2.9203635641119496,1
2020-01-07,6719.166015625,6806.556208016894,6674.330861828322,6744.243108504864,590500,0.44304611466410293,0
2020-01-08,6682.689453125,6760.057983234566,6630.68279554582,6706.246621169079,793313,-0.5428733627830584,0
2020-01-09,6865.73388671875,6877.227688740578,6746.1424095905495,6782.2383560231665,798184,2.7390833417846983,0
2020-01-10,6963.193359375,6981.621198018001,6871.908513616145,6897.555634645149,747847,1.4195055366881926,0
2020-01-13,6984.2802734375,7000.713241109737,6915.032684573116,6964.617297668467,537399,0.3028339581308437,0
2020-01-14,7016.671875,7040.989237047348,6958.538681406218,6986.465452586916,548522,0.46377866142759405,0
2020-01-15,7108.00439453125,7128.949356682072,6984.565572242941,7018.714422575472,692726,1.3016501435197947,0
2020-01-16,7088.72119140625,7144.1475586068045,7049.348392138563,7082.87944033395,640207,-0.2712885650413499,0
2020-01-17,7143.34033203125,7190.597525854979,7060.129582404737,7094.753380290076,750738,0.7705076719791926,0
2020-01-20,7076.3251953125,7152.221576949947,7049.205463404759,7144.384957252778,407828,-0.9381484516179261,0
2020-01-21,6936.73779296875,7062.123700949633,6922.631785557888,7040.133765153876,442561,-1.972597336767612,0
2020-01-22,6778.05908203125,7005.416148150592,6751.794623662866,6972.217190037109,1048435,-2.2875120218374234,1
2020-01-23,6788.98291015625,6858.230043175427,6766.23277871136,6787.367905921977,589326,0.1611645456729427,0
2020-01-24,6771.26708984375,6848.730703046345,6754.928739533748,6790.597047475034,645723,-0.2609495493941738,0
2020-01-27,6790.59765625,6862.979717831241,6707.1972024368715,6745.667884592188,573149,0.2854793076356943,0
2020-01-28,6646.451171875,6858.182773597833,6614.107488382031,6820.1870390674185,1614448,-2.1227363432779534,1
2020-01-29,6659.03759765625,6759.678990138951,6625.506545753618,6658.752815158833,1001252,0.18937061983559378,0
2020-01-30,6668.67919921875,6695.798469830257,6631.205719660239,6668.251561669515,579174,0.14478971504672256,0
2020-01-31,6567.08740234375,6710.046345578397,6550.036631893713,6682.49943957305,868935,-1.523417064160193,0
2020-02-03,6659.9873046875,6691.856506043151,6440.277150264271,6440.277150264271,1010531,1.4146286877588121,0
2020-02-04,6838.85205078125,6853.4803151705,6650.203144353246,6668.251117463189,973311,2.6856619676716154,0
2020-02-05,6688.103515625,6869.248350005524,6673.570333938269,6853.4800287633025,718489,-2.2042958969850646,1
2020-02-06,6669.77099609375,6763.572960988347,6627.215497275295,6720.495206372468,875714,-0.2741063963561663,0
2020-02-07,6622.41845703125,6696.747605991367,6587.509879085124,6686.298779939465,645814,-0.7099574946461074,0
2020-02-10,6547.52001953125,6638.899948677942,6507.81466157141,6625.506359188814,593773,-1.1309831594902842,0
2020-02-11,6681.31201171875,6733.793616644637,6565.947284685944,6601.7584476908205,743160,2.043399512920896,0
2020-02-12,6690.38330078125,6753.741369478057,6656.804943646112,6702.542213321965,599364,0.13577107380391418,0
2020-02-13,6654.0498046875,6702.44705333248,6578.011032359329,6696.747693593252,723169,-0.5430704708578871,0
2020-02-14,6567.37255859375,6733.746752454226,6555.214109053014,6649.300861289856,614859,-1.3026239453857058,0
2020-02-17,6560.67578125,6630.255467929924,6535.266134578492,6573.261867919065,463548,-0.1019704194333726,0
2020-02-18,6441.32080078125,6582.759803950159,6398.290361003204,6578.010338002143,830678,-1.8192482672266586,0
2020-02-19,6418.0498046875,6511.471912838114,6292.663876561811,6506.769755007347,1033939,-0.36127677557881155,0
2020-02-20,6418.99951171875,6466.446407126972,6383.283428344749,6422.229056404591,682513,0.014797439411529112,0
2020-02-24,6146.18994140625,6373.784484618544,6117.123111649288,6373.784484618544,1091346,-4.250032576174045,1
2020-02-25,6093.13818359375,6183.805689092744,6057.042236407033,6179.436086933435,964897,-0.8631649577748313,0
2020-02-26,5922.4423828125,6049.728086055823,5876.087311103489,6031.822504441038,1580738,-2.8014431256599748,1
2020-02-27,5974.638671875,6020.471023439374,5857.801796384471,5917.835238260111,1492657,0.881330466193786,0
2020-02-28,5968.2744140625,6048.302920941187,5797.388709941526,5854.239450304184,1468843,-0.10652121679690651,0
2020-03-02,5970.22216796875,6116.885610213958,5936.833509076726,6080.220097513995,1219764,0.0326351265226732,0
2020-03-03,6066.06591796875,6100.357158833672,5965.804865761934,6001.425864482748,849199,1.6053632059828127,0
2020-03-04,6064.451171875,6102.114347148166,5897.887294745168,6069.8179760704825,904360,-0.026619329819133064,0
2020-03-05,6046.9736328125,6140.110488341829,6013.014946247181,6090.620953059841,645853,-0.2881965501438155,0
2020-03-06,6122.96533203125,6155.309015638301,5794.491927568147,5885.919164104441,1140899,1.2566897729865856,0
2020-03-09,5890.3837890625,6054.620257730542,5774.781581985496,5985.278042667108,1082030,-3.7985115112777024,1
2020-03-11,5838.3291015625,5994.729407066056,5799.098693144742,5851.342825515416,937029,-0.8837231895934772,0
2020-03-12,5360.39013671875,5641.700937067033,5277.179393148544,5641.700937067033,1345964,-8.186228568647147,1
2020-03-13,5546.046875,5759.677776195315,4562.384632311016,5058.371768571346,1480205,3.463493020955677,0
2020-03-16,5205.6533203125,5402.9936747297115,5129.424374743397,5356.069033397865,933412,-6.137588851293296,1
2020-03-17,5323.154296875,5458.989027363835,5226.312497549424,5226.312497549424,1238640,2.2571802102919536,0
2020-03-18,5084.44677734375,5403.753348641776,5046.3559595209335,5386.845431772212,973395,-4.48432463570303,1
2020-03-19,4578.05810546875,4841.2263246485745,4419.42592308738,4625.980408366883,2554559,-9.959562840375547,1
2020-03-20,4824.6982421875,4963.192500011056,4571.456595261239,4625.030484699298,1614552,5.387440068183591,0
2020-03-23,4008.882080078125,4549.988678483867,3933.5079577456563,4345.761629240854,1531965,-16.909164493974384,1
2020-03-24,4261.6484375,4341.011827061737,3828.0695105161485,4123.486289119256,1746431,6.3051582055251965,0
2020-03-25,4755.11865234375,4900.879504056625,4094.135292641368,4216.576448866613,1728819,11.579327156635033,0
2020-03-26,4633.580078125,4863.454284542846,4511.993721011429,4772.692154270452,1338787,-2.5559525030746544,1
2020-03-27,4413.29931640625,4879.126894006472,4326.763944748268,4844.45578885097,1339426,-4.754007873063193,1
2020-03-30,4111.56591796875,4407.457686536229,4056.044468003645,4357.588287339463,1528082,-6.836912178510513,1
2020-03-31,4073.42724609375,4244.170566484967,3999.0507863534017,4227.025177974499,2140261,-0.9275948053835803,0
2020-04-01,4033.57958984375,4203.135547367014,3980.148090624234,4075.042340475075,1323842,-0.9782341463987709,0
2020-04-03,3810.497314453125,4053.195074354103,3800.618516010788,4037.0468868068756,1724808,-5.530627831227863,1
2020-04-07,4325.48193359375,4381.7631168339285,3913.5607586419505,3942.057560282547,2688172,13.514892588620931,0
2020-04-08,4462.69384765625,4678.224546699552,4185.704865996259,4185.704865996259,2798833,3.172176330152876,0
2020-04-09,5059.74951171875,5128.474390958127,4498.885240250238,4554.216529984135,3786650,13.378817468647686,0
2020-04-13,5018.4287109375,5075.659782442749,4750.416408261414,5020.186106311053,2192268,-0.8166570437043941,0
2020-04-15,4839.041015625,5081.9289060632445,4788.4118907410875,5041.55844279078,2094519,-3.5745789298855746,1
2020-04-16,4873.712890625,4966.042714999166,4720.970216822083,4765.615206800079,1752169,0.7165030196695232,0
2020-04-17,5229.1630859375,5322.205328551214,4950.5595415624675,5058.182276588045,2192902,7.2932116291921645,0
2020-04-20,5064.2138671875,5294.658080421954,5015.4367522224675,5235.812003456485,1555307,-3.154409530534419,1
2020-04-21,4750.51220703125,4874.188055449823,4639.7545384301675,4874.188055449823,1843169,-6.194478913870782,1
2020-04-22,4921.2548828125,4985.277599597979,4740.917543865768,4758.015623567147,1991584,3.594195074975981,0
2020-04-23,4897.982421875,4981.810505799507,4792.211709905253,4909.99847938558,1454061,-0.4728968828413893,0
2020-04-24,4792.8291015625,4882.451628399347,4777.96336397835,4844.455895882621,1070808,-2.1468701039610183,1
